tijdstip;locatie;component;waarde;LKI
2015-08-04 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,1;1
2015-08-04 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;19,66;2
2015-08-04 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,66;1
2015-08-04 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;22,09;3
2015-08-04 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,95;3
2015-08-04 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;6,85;1
2015-08-04 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,74;1
2015-08-04 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;22,69;3
2015-08-05 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,52;3
2015-08-05 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,46;1
2015-08-05 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,01;1
2015-08-05 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,69;3
2015-08-05 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,14;3
2015-08-05 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,27;1
2015-08-05 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,84;3
2015-08-05 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;0,98;1
2015-08-05 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;0,85;1
2015-08-05 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;22,27;3
2015-08-05 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;0,79;1
2015-08-05 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;19,61;2
2015-08-05 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,62;3
2015-08-05 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,73;1
2015-08-05 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,75;1
2015-08-05 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;41,76;4
2015-08-05 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;50,81;5
2015-08-05 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;15,09;2
2015-08-05 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;48,04;5
2015-08-05 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;15,26;2
2015-08-05 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;15,21;2
2015-08-05 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;46,14;5
2015-08-05 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,33;2
2015-08-05 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;30,84;4
2015-08-05 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,78;2
2015-08-05 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;28,16;3
2015-08-05 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,28;1
