tijdstip;locatie;component;waarde;LKI
2015-08-04 02:00:00+02:00;Den Haag-Bleriotlaan;NO;1,01;1
2015-08-04 02:00:00+02:00;Den Haag-Bleriotlaan;NO2;50,62;5
2015-08-04 02:00:00+02:00;Den Haag-Bleriotlaan;PM10;12,11;2
2015-08-04 02:00:00+02:00;Den Haag-Bleriotlaan;O3;15,32;2
2015-08-04 03:00:00+02:00;Den Haag-Bleriotlaan;NO;1,24;1
2015-08-04 03:00:00+02:00;Den Haag-Bleriotlaan;O3;12,01;1
2015-08-04 03:00:00+02:00;Den Haag-Bleriotlaan;NO2;49,69;5
2015-08-04 04:00:00+02:00;Den Haag-Bleriotlaan;NO;2,05;1
2015-08-04 04:00:00+02:00;Den Haag-Bleriotlaan;NO2;41,4;4
2015-08-04 04:00:00+02:00;Den Haag-Bleriotlaan;O3;12,1;1
2015-08-04 04:00:00+02:00;Den Haag-Bleriotlaan;PM10;10,83;2
2015-08-04 05:00:00+02:00;Den Haag-Bleriotlaan;NO2;26,81;3
2015-08-04 05:00:00+02:00;Den Haag-Bleriotlaan;O3;20,64;2
2015-08-04 05:00:00+02:00;Den Haag-Bleriotlaan;PM10;18,51;2
2015-08-04 05:00:00+02:00;Den Haag-Bleriotlaan;NO;0,73;1
2015-08-04 06:00:00+02:00;Den Haag-Bleriotlaan;NO2;20,0;3
2015-08-04 06:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-04 06:00:00+02:00;Den Haag-Bleriotlaan;NO;0,21;1
2015-08-04 06:00:00+02:00;Den Haag-Bleriotlaan;O3;29,24;2
2015-08-04 07:00:00+02:00;Den Haag-Bleriotlaan;NO;3,52;1
2015-08-04 07:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-04 07:00:00+02:00;Den Haag-Bleriotlaan;O3;32,2;3
2015-08-04 07:00:00+02:00;Den Haag-Bleriotlaan;NO2;24,06;3
2015-08-04 08:00:00+02:00;Den Haag-Bleriotlaan;O3;21,64;2
2015-08-04 08:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-04 08:00:00+02:00;Den Haag-Bleriotlaan;NO2;43,09;4
2015-08-04 08:00:00+02:00;Den Haag-Bleriotlaan;NO;5,18;1
2015-08-04 09:00:00+02:00;Den Haag-Bleriotlaan;PM10;8,27;1
2015-08-04 09:00:00+02:00;Den Haag-Bleriotlaan;NO2;47,82;5
2015-08-04 09:00:00+02:00;Den Haag-Bleriotlaan;NO;10,25;2
2015-08-04 09:00:00+02:00;Den Haag-Bleriotlaan;O3;11,6;1
2015-08-04 10:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-04 10:00:00+02:00;Den Haag-Bleriotlaan;NO;2,98;1
2015-08-04 10:00:00+02:00;Den Haag-Bleriotlaan;NO2;26,02;3
2015-08-04 10:00:00+02:00;Den Haag-Bleriotlaan;O3;35,62;3
2015-08-04 11:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,94;2
2015-08-04 11:00:00+02:00;Den Haag-Bleriotlaan;PM10;21,07;3
2015-08-04 11:00:00+02:00;Den Haag-Bleriotlaan;O3;47,37;4
2015-08-04 11:00:00+02:00;Den Haag-Bleriotlaan;NO;1,67;1
2015-08-04 12:00:00+02:00;Den Haag-Bleriotlaan;PM10;23,63;3
2015-08-04 12:00:00+02:00;Den Haag-Bleriotlaan;NO2;21,68;3
2015-08-04 12:00:00+02:00;Den Haag-Bleriotlaan;NO;2,51;1
2015-08-04 12:00:00+02:00;Den Haag-Bleriotlaan;O3;49,69;4
2015-08-04 13:00:00+02:00;Den Haag-Bleriotlaan;NO;3,83;1
2015-08-04 13:00:00+02:00;Den Haag-Bleriotlaan;O3;50,33;4
2015-08-04 13:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,94;2
2015-08-04 13:00:00+02:00;Den Haag-Bleriotlaan;PM10;1,87;1
2015-08-04 14:00:00+02:00;Den Haag-Bleriotlaan;NO;3,05;1
2015-08-04 14:00:00+02:00;Den Haag-Bleriotlaan;NO2;10,27;2
2015-08-04 14:00:00+02:00;Den Haag-Bleriotlaan;PM10;8,27;1
